# awards.csv v0.3 — 검수 진행 중 (CURSOR_GUIDE §4.4 게이트)
# source(검수 URL):
#   https://lol.fandom.com/wiki/Worlds_MVP
#   https://lol.fandom.com/wiki/LCK/Season_MVP
#   https://lol.fandom.com/wiki/LCK/Finals_MVP
#   https://lol.fandom.com/wiki/LCK/All-Pro_Team
# 생성: AI 학습 데이터 기반 + 호빈 웹검색 검증 병행
# 표기: # ? = 불확실(플레이어 또는 스플릿 미확인) / # ~ = 추정(유력하나 소스 미확인)
# split: SPRING/SUMMER/WINTER/NONE (연간 단일 수상 또는 스플릿 미상)
# MSI_MVP는 §6.1 가점 대상 아님 — 주석 보존만 (04-ratings 미사용)
playerId,year,league,award,value,split

# ═══════════════════════════════════════════════════
# EDITORIAL — 앵커 보정 전용 (±1~5, 최대 100건)
# ═══════════════════════════════════════════════════
# Faker 2015: 역대 최고 MID 피크. Worlds+MSI 동시 제패 + FINALS_MVP에도 OVR 97 → 99 보정
# SEASON_MVP 2015는 Duke(Spring)/Ssumday(Summer) 수상으로 Faker 미포함 — 팀 성적 대비 개인 공헌 보완
Faker,2015,LCK,EDITORIAL,4,NONE
# Samsung White 2014: 국내 무관이나 역대 최강급 우승팀 (결승 미진출로 FINALS_MVP 미수령)
Looper,2014,LCK,EDITORIAL,3,NONE
DanDy,2014,LCK,EDITORIAL,3,NONE
PawN,2014,LCK,EDITORIAL,3,NONE
imp,2014,LCK,EDITORIAL,3,NONE
Mata,2014,LCK,EDITORIAL,3,NONE
# HLE 2021 8강: Chovy·Deft 하드캐리 공식 지표 미포착
Chovy,2021,LCK,EDITORIAL,5,NONE
Deft,2021,LCK,EDITORIAL,4,NONE
# MAD Lions 2021: Elyoya 데뷔 시즌 LEC 우승 정규 압도 / Humanoid 팀 내 에이스 / Armut 월즈 부진
Elyoya,2021,LEC,EDITORIAL,2,NONE
Humanoid,2021,LEC,EDITORIAL,1,NONE
Armut,2021,LEC,EDITORIAL,-1,NONE

# ═══════════════════════════════════════════════════
# WORLDS_MVP (2014~2024) — 2013 제도 미시상
# ═══════════════════════════════════════════════════
Mata,2014,WORLDS,WORLDS_MVP,,NONE
MaRin,2015,WORLDS,WORLDS_MVP,,NONE
Faker,2016,WORLDS,WORLDS_MVP,,NONE
Ruler,2017,WORLDS,WORLDS_MVP,,NONE
Ning,2018,WORLDS,WORLDS_MVP,,NONE
Tian,2019,WORLDS,WORLDS_MVP,,NONE
Canyon,2020,WORLDS,WORLDS_MVP,,NONE
Scout,2021,WORLDS,WORLDS_MVP,,NONE
Kingen,2022,WORLDS,WORLDS_MVP,,NONE
Zeus,2023,WORLDS,WORLDS_MVP,,NONE
Faker,2024,WORLDS,WORLDS_MVP,,NONE

# ═══════════════════════════════════════════════════
# MSI_MVP (§6.1 가점 없음 — 주석 보존만)
# ═══════════════════════════════════════════════════
# Faker,2016,MSI,MSI_MVP,,NONE
# Faker,2017,MSI,MSI_MVP,,NONE
# Uzi,2018,MSI,MSI_MVP,,NONE
# ? 2019 G2 우승. Caps/Perkz 확인 필요
# ? 2021 RNG 우승. 불확실
# Faker,2022,MSI,MSI_MVP,,NONE
# ? 2023 JDG 우승. knight 확인 필요
