playerId,year,league,award,value,split
BrokenBlade,2024,LEC,EDITORIAL,-7,
Yike,2024,LEC,EDITORIAL,-7,
Caps,2024,LEC,EDITORIAL,-7,
Hans Sama,2024,LEC,EDITORIAL,-7,
Mikyx,2024,LEC,EDITORIAL,-7,
BrokenBlade,2023,LEC,EDITORIAL,-5,
Yike,2023,LEC,EDITORIAL,-5,
Caps,2023,LEC,EDITORIAL,-5,
Hans Sama,2023,LEC,EDITORIAL,-5,
Mikyx,2023,LEC,EDITORIAL,-5,
Chovy,2021,LCK,EDITORIAL,5,
Deft,2021,LCK,EDITORIAL,4,
Armut,2021,LEC,EDITORIAL,-1,
Elyoya,2021,LEC,EDITORIAL,2,
Humanoid,2021,LEC,EDITORIAL,1,
Looper,2014,LCK,EDITORIAL,3,
Dandy,2014,LCK,EDITORIAL,3,
PawN,2014,LCK,EDITORIAL,3,
imp,2014,LCK,EDITORIAL,3,
Mata,2014,LCK,EDITORIAL,3,
