playerId,year,league,award,value,split
Faker,2023,LCK,EDITORIAL,2,NONE
Zeus,2023,LCK,EDITORIAL,1,NONE
Oner,2023,LCK,EDITORIAL,-1,NONE
Chovy,2023,LCK,EDITORIAL,2,NONE
Peyz,2023,LCK,EDITORIAL,1,NONE
Doran,2023,LCK,EDITORIAL,-1,NONE
Faker,2024,LCK,EDITORIAL,2,NONE
Oner,2024,LCK,EDITORIAL,1,NONE
Zeus,2024,LCK,EDITORIAL,-1,NONE
Oner,2025,LCK,EDITORIAL,2,NONE
Gumayusi,2025,LCK,EDITORIAL,1,NONE
Doran,2025,LCK,EDITORIAL,-1,NONE
JackeyLove,2025,LPL,EDITORIAL,2,NONE
Kanavi,2025,LPL,EDITORIAL,1,NONE
Creme,2025,LPL,EDITORIAL,-1,NONE
Knight,2025,LPL,EDITORIAL,2,NONE
Bin,2025,LPL,EDITORIAL,1,NONE
ON,2025,LPL,EDITORIAL,-1,NONE
TheShy,2019,LPL,EDITORIAL,2,NONE
Rookie,2019,LPL,EDITORIAL,1,NONE
Ning,2019,LPL,EDITORIAL,-1,NONE
Razork,2024,LEC,EDITORIAL,2,NONE
Humanoid,2024,LEC,EDITORIAL,1,NONE
Noah,2024,LEC,EDITORIAL,-1,NONE
