playerId,year,league,award,value,split
Rascal,2021,LCK,ALLPRO_2ND,3,Spring
Pyosik,2021,LCK,ALLPRO_2ND,3,Spring
Chovy,2021,LCK,ALLPRO_2ND,3,Spring
Teddy,2021,LCK,ALLPRO_2ND,3,Spring
BeryL,2021,LCK,ALLPRO_2ND,3,Spring
Kingen,2021,LCK,ALLPRO_3RD,1,Spring
Clid,2021,LCK,ALLPRO_3RD,1,Spring
Bdd,2021,LCK,ALLPRO_3RD,1,Spring
Ghost,2021,LCK,ALLPRO_3RD,1,Spring
Life,2021,LCK,ALLPRO_3RD,1,Spring
ShowMaker,2021,LCK,ALLPRO_2ND,3,Summer
Keria,2021,LCK,ALLPRO_2ND,3,Summer
Kellin,2021,LCK,ALLPRO_2ND,3,Summer
Zeus,2022,LCK,ALLPRO_2ND,3,Spring
Rascal,2022,LCK,ALLPRO_2ND,3,Spring
Oner,2022,LCK,ALLPRO_2ND,3,Spring
Chovy,2022,LCK,ALLPRO_2ND,3,Spring
Ruler,2022,LCK,ALLPRO_2ND,3,Spring
BeryL,2022,LCK,ALLPRO_2ND,3,Spring
Kiin,2022,LCK,ALLPRO_3RD,1,Spring
Peanut,2022,LCK,ALLPRO_3RD,1,Spring
ShowMaker,2022,LCK,ALLPRO_3RD,1,Spring
Deft,2022,LCK,ALLPRO_3RD,1,Spring
Lehends,2022,LCK,ALLPRO_3RD,1,Spring
Doran,2022,LCK,ALLPRO_2ND,3,Summer
Oner,2022,LCK,ALLPRO_2ND,3,Summer
Faker,2022,LCK,ALLPRO_2ND,3,Summer
Prince,2022,LCK,ALLPRO_2ND,3,Summer
Keria,2022,LCK,ALLPRO_2ND,3,Summer
Rascal,2022,LCK,ALLPRO_3RD,1,Summer
Croco,2022,LCK,ALLPRO_3RD,1,Summer
Clozer,2022,LCK,ALLPRO_3RD,1,Summer
Aiming,2022,LCK,ALLPRO_3RD,1,Summer
Kael,2022,LCK,ALLPRO_3RD,1,Summer
Doran,2023,LCK,ALLPRO_3RD,1,Spring
Canyon,2023,LCK,ALLPRO_3RD,1,Spring
Bdd,2023,LCK,ALLPRO_3RD,1,Spring
Peyz,2023,LCK,ALLPRO_3RD,1,Spring
Lehends,2023,LCK,ALLPRO_3RD,1,Spring
Doran,2023,LCK,ALLPRO_2ND,3,Summer
Peanut,2023,LCK,ALLPRO_2ND,3,Summer
Chovy,2023,LCK,ALLPRO_2ND,3,Summer
Peyz,2023,LCK,ALLPRO_2ND,3,Summer
Delight,2023,LCK,ALLPRO_2ND,3,Summer
Zeus,2023,LCK,ALLPRO_3RD,1,Summer
Canyon,2023,LCK,ALLPRO_3RD,1,Summer
Zeka,2023,LCK,ALLPRO_3RD,1,Summer
Viper,2023,LCK,ALLPRO_3RD,1,Summer
Life,2023,LCK,ALLPRO_3RD,1,Summer
Doran,2024,LCK,ALLPRO_2ND,3,Summer
Peanut,2024,LCK,ALLPRO_2ND,3,Summer
Zeka,2024,LCK,ALLPRO_2ND,3,Summer
Viper,2024,LCK,ALLPRO_2ND,3,Summer
Delight,2024,LCK,ALLPRO_2ND,3,Summer
Kingen,2024,LCK,ALLPRO_3RD,1,Summer
Oner,2024,LCK,ALLPRO_3RD,1,Summer
Bdd,2024,LCK,ALLPRO_3RD,1,Summer
Aiming,2024,LCK,ALLPRO_3RD,1,Summer
Keria,2024,LCK,ALLPRO_3RD,1,Summer
