playerId,year,league,award,value,split
Wunder,2022,LEC,ALLPRO_2ND,3,Spring
Elyoya,2022,LEC,ALLPRO_2ND,3,Spring
Humanoid,2022,LEC,ALLPRO_2ND,3,Spring
Comp,2022,LEC,ALLPRO_2ND,3,Spring
Trymbi,2022,LEC,ALLPRO_2ND,3,Spring
Larssen,2022,LEC,ALLPRO_3RD,1,Spring
Patrik,2022,LEC,ALLPRO_3RD,1,Spring
Targamas,2022,LEC,ALLPRO_3RD,1,Spring
Alphari,2022,LEC,ALLPRO_2ND,3,Summer
Markoon,2022,LEC,ALLPRO_2ND,3,Summer
Caps,2022,LEC,ALLPRO_2ND,3,Summer
Neon,2022,LEC,ALLPRO_2ND,3,Summer
Targamas,2022,LEC,ALLPRO_2ND,3,Summer
Odoamne,2022,LEC,ALLPRO_3RD,1,Summer
Vetheo,2022,LEC,ALLPRO_3RD,1,Summer
Trymbi,2022,LEC,ALLPRO_3RD,1,Summer
BrokenBlade,2023,LEC,ALLPRO_2ND,3,Winter
Yike,2023,LEC,ALLPRO_2ND,3,Winter
Nisqy,2023,LEC,ALLPRO_2ND,3,Winter
Exakick,2023,LEC,ALLPRO_2ND,3,Winter
Hylissang,2023,LEC,ALLPRO_2ND,3,Winter
Chasy,2023,LEC,ALLPRO_3RD,1,Winter
Markoon,2023,LEC,ALLPRO_3RD,1,Winter
Larssen,2023,LEC,ALLPRO_3RD,1,Winter
Comp,2023,LEC,ALLPRO_3RD,1,Winter
Trymbi,2023,LEC,ALLPRO_3RD,1,Winter
Adam,2023,LEC,ALLPRO_2ND,3,Spring
Yike,2023,LEC,ALLPRO_2ND,3,Spring
Caps,2023,LEC,ALLPRO_2ND,3,Spring
Carzzy,2023,LEC,ALLPRO_2ND,3,Spring
Mikyx,2023,LEC,ALLPRO_2ND,3,Spring
Photon,2023,LEC,ALLPRO_3RD,1,Spring
nuc,2023,LEC,ALLPRO_3RD,1,Spring
Hans Sama,2023,LEC,ALLPRO_3RD,1,Spring
Labrov,2023,LEC,ALLPRO_3RD,1,Spring
Odoamne,2023,LEC,ALLPRO_2ND,3,Summer
Razork,2023,LEC,ALLPRO_2ND,3,Summer
Humanoid,2023,LEC,ALLPRO_2ND,3,Summer
Noah,2023,LEC,ALLPRO_2ND,3,Summer
Trymbi,2023,LEC,ALLPRO_2ND,3,Summer
Oscarinin,2023,LEC,ALLPRO_3RD,1,Summer
Jankos,2023,LEC,ALLPRO_3RD,1,Summer
Abbedagge,2023,LEC,ALLPRO_3RD,1,Summer
Patrik,2023,LEC,ALLPRO_3RD,1,Summer
LIMIT,2023,LEC,ALLPRO_3RD,1,Summer
