playerId,year,league,award,value,split
Zoom,2021,LPL,ALLPRO_2ND,3,Spring
Karsa,2021,LPL,ALLPRO_2ND,3,Spring
FoFo,2021,LPL,ALLPRO_2ND,3,Spring
GALA,2021,LPL,ALLPRO_2ND,3,Spring
Crisp,2021,LPL,ALLPRO_2ND,3,Spring
Bin,2021,LPL,ALLPRO_2ND,3,Summer
Wei,2021,LPL,ALLPRO_2ND,3,Summer
knight,2021,LPL,ALLPRO_2ND,3,Summer
Lwx,2021,LPL,ALLPRO_2ND,3,Summer
Meiko,2021,LPL,ALLPRO_2ND,3,Summer
TheShy,2022,LPL,ALLPRO_2ND,3,Spring
Karsa,2022,LPL,ALLPRO_2ND,3,Spring
Xiaohu,2022,LPL,ALLPRO_2ND,3,Spring
Light,2022,LPL,ALLPRO_2ND,3,Spring
Crisp,2022,LPL,ALLPRO_2ND,3,Spring
TheShy,2022,LPL,ALLPRO_2ND,3,Summer
Kanavi,2022,LPL,ALLPRO_2ND,3,Summer
knight,2022,LPL,ALLPRO_2ND,3,Summer
Photic,2022,LPL,ALLPRO_2ND,3,Summer
Missing,2022,LPL,ALLPRO_2ND,3,Summer
Ale,2023,LPL,ALLPRO_2ND,3,Spring
Kanavi,2023,LPL,ALLPRO_2ND,3,Spring
knight,2023,LPL,ALLPRO_2ND,3,Spring
Elk,2023,LPL,ALLPRO_2ND,3,Spring
MISSING,2023,LPL,ALLPRO_2ND,3,Spring
369,2023,LPL,ALLPRO_2ND,3,Summer
Xun,2023,LPL,ALLPRO_2ND,3,Summer
Scout,2023,LPL,ALLPRO_2ND,3,Summer
Elk,2023,LPL,ALLPRO_2ND,3,Summer
MISSING,2023,LPL,ALLPRO_2ND,3,Summer
369,2024,LPL,ALLPRO_2ND,3,Spring
Xun,2024,LPL,ALLPRO_2ND,3,Spring
Rookie,2024,LPL,ALLPRO_2ND,3,Spring
Ruler,2024,LPL,ALLPRO_2ND,3,Spring
Meiko,2024,LPL,ALLPRO_2ND,3,Spring
Zika,2024,LPL,ALLPRO_2ND,3,Summer
Tarzan,2024,LPL,ALLPRO_2ND,3,Summer
Scout,2024,LPL,ALLPRO_2ND,3,Summer
JackeyLove,2024,LPL,ALLPRO_2ND,3,Summer
ON,2024,LPL,ALLPRO_2ND,3,Summer
